0,-1,-1,-1,-1,-1,-1
1,0,0,0,0,0,0
2,0,0,0,0,1,0
3,0,0,0,1,0,0
4,0,0,0,1,1,0
5,0,0,1,0,0,0
6,0,0,1,0,0,1
7,0,0,1,0,1,0
8,0,0,1,0,1,1
9,0,0,1,1,0,0
10,0,0,1,1,0,1
11,1,0,0,0,0,0
12,1,0,0,0,1,0
13,1,0,0,1,0,0
14,1,0,0,1,0,1
15,1,0,0,1,1,0
16,1,0,0,1,1,1
17,1,0,1,0,0,0
18,1,0,1,0,1,0
19,1,0,1,1,0,0
20,1,0,1,1,0,1
21,2,0,0,0,0,0
22,2,0,0,0,1,0
23,2,0,0,0,1,1
24,2,0,0,1,0,0
25,2,0,0,1,1,0
26,2,0,0,1,1,1
27,2,0,1,0,0,0
28,2,0,1,0,1,0
29,2,0,1,0,1,1
30,2,0,1,1,0,0
31,0,2,0,0,0,0
32,0,2,0,0,1,0
33,0,2,0,1,0,0
34,0,2,1,0,0,0
35,0,2,1,0,0,1
36,0,2,1,0,1,0
37,0,2,1,1,0,0
38,1,2,0,0,0,0
39,1,2,0,0,1,0
40,1,2,0,1,0,0
41,1,2,0,1,0,1
42,1,2,0,1,1,0
43,1,2,1,0,0,0
44,1,2,1,1,0,0
45,2,2,0,0,0,0
46,2,2,0,0,1,0
47,2,2,0,0,1,1
48,2,2,0,1,0,0
49,2,2,0,1,1,0
50,2,2,1,0,0,0
51,2,2,1,0,1,0
52,0,4,0,0,0,0
53,0,4,0,0,1,0
54,0,4,0,1,0,0
55,0,4,1,0,0,0
56,0,4,1,0,0,1
57,1,4,0,0,0,0
58,1,4,0,0,1,0
59,1,4,0,1,0,0
60,1,4,0,1,0,1
61,1,4,1,0,0,0
62,2,4,0,0,0,0
63,2,4,0,0,1,0
64,2,4,0,0,1,1
65,2,4,0,1,0,0
66,2,4,1,0,0,0
67,0,6,0,0,0,0
68,0,6,1,0,0,0
69,1,6,0,0,0,0
70,1,6,0,1,0,0
71,2,6,0,0,0,0
72,2,6,0,0,1,0
73,0,8,0,0,0,0
74,1,8,0,0,0,0
75,2,8,0,0,0,0
