0,-1,-1,-1,-1,-1,-1,-1,-1
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,1,0
3,0,0,0,0,0,1,0,0
4,0,0,0,0,1,0,0,0
5,0,0,0,1,0,0,0,0
6,0,0,1,0,0,0,0,0
7,0,0,1,0,0,0,0,1
8,1,0,0,0,0,0,0,0
9,1,0,0,0,0,0,1,0
10,1,0,0,0,0,1,0,0
11,1,0,0,0,1,0,0,0
12,1,0,0,1,0,0,0,0
13,1,0,0,1,0,0,0,1
14,1,0,1,0,0,0,0,0
15,2,0,0,0,0,0,0,0
16,2,0,0,0,0,0,1,0
17,2,0,0,0,0,1,0,0
18,2,0,0,0,1,0,0,0
19,2,0,0,0,1,0,0,1
20,2,0,0,1,0,0,0,0
21,2,0,1,0,0,0,0,0
22,3,0,0,0,0,0,0,0
23,3,0,0,0,0,0,1,0
24,3,0,0,0,0,1,0,0
25,3,0,0,0,0,1,0,1
26,3,0,0,0,1,0,0,0
27,3,0,0,1,0,0,0,0
28,3,0,1,0,0,0,0,0
29,4,0,0,0,0,0,0,0
30,4,0,0,0,0,0,1,0
31,4,0,0,0,0,0,1,1
32,4,0,0,0,0,1,0,0
33,4,0,0,0,1,0,0,0
34,4,0,0,1,0,0,0,0
35,4,0,1,0,0,0,0,0
36,0,4,0,0,0,0,0,0
37,0,4,1,0,0,0,0,0
38,1,4,0,0,0,0,0,0
39,1,4,0,1,0,0,0,0
40,2,4,0,0,0,0,0,0
41,2,4,0,0,1,0,0,0
42,3,4,0,0,0,0,0,0
43,3,4,0,0,0,1,0,0
44,4,4,0,0,0,0,0,0
45,4,4,0,0,0,0,1,0
46,0,8,0,0,0,0,0,0
47,1,8,0,0,0,0,0,0
48,2,8,0,0,0,0,0,0
49,3,8,0,0,0,0,0,0
50,4,8,0,0,0,0,0,0
