0,-1,-1,-1,-1,-1,-1,-1,-1
1,0,6,0,0,0,0,0,0
2,0,6,0,0,0,0,1,0
3,0,6,0,0,0,1,0,0
4,0,6,0,0,1,0,0,0
5,0,6,0,1,0,0,0,0
6,0,6,0,1,0,0,0,1
7,1,7,0,0,0,0,0,0
8,1,7,0,0,0,0,1,0
9,1,7,0,0,0,1,0,0
10,1,7,0,0,1,0,0,0
11,1,7,0,0,1,0,0,1
12,1,7,0,1,0,0,0,0
13,2,8,0,0,0,0,0,0
14,2,8,0,0,0,0,1,0
15,2,8,0,0,0,1,0,0
16,2,8,0,0,0,1,0,1
17,2,8,0,0,1,0,0,0
18,2,8,0,1,0,0,0,0
19,3,11,0,0,0,0,0,0
20,3,11,0,0,0,0,1,0
21,3,11,0,0,0,0,1,1
22,3,11,0,0,0,1,0,0
23,3,11,0,0,1,0,0,0
24,3,11,0,1,0,0,0,0
25,0,6,16,0,0,0,0,0
26,0,6,16,1,0,0,0,0
27,1,7,16,0,0,0,0,0
28,1,7,16,0,1,0,0,0
29,2,8,16,0,0,0,0,0
30,2,8,16,0,0,1,0,0
31,3,11,16,0,0,0,0,0
32,3,11,16,0,0,0,1,0
33,0,6,32,0,0,0,0,0
34,1,7,32,0,0,0,0,0
35,2,8,32,0,0,0,0,0
36,3,11,32,0,0,0,0,0
